번호,출현 횟수 전체,출현 횟수 100,출현 횟수 020,출현 횟수 005,출현 횟수 001
1,155,10,1,0,0
2,143,7,1,0,0
3,154,18,5,1,0
4,150,10,2,1,0
5,141,8,1,1,0
6,149,22,3,1,0
7,152,19,3,0,0
8,142,7,1,1,0
9,119,8,3,1,0
10,150,10,3,1,1
11,153,13,4,1,0
12,164,16,3,0,0
13,162,15,6,1,0
14,162,16,2,1,0
15,149,9,3,1,1
16,150,15,4,0,0
17,158,11,2,1,0
18,165,12,0,0,0
19,152,17,5,1,0
20,157,14,4,0,0
21,153,15,3,1,0
22,134,17,1,0,0
23,136,12,1,0,0
24,151,14,3,2,1
25,139,6,2,1,0
26,152,16,3,0,0
27,158,9,0,0,0
28,135,10,0,0,0
29,140,10,0,0,0
30,144,21,6,2,1
31,153,15,4,1,1
32,133,18,4,0,0
33,160,18,6,2,0
34,172,14,4,2,0
35,148,19,2,1,0
36,151,15,3,0,0
37,156,13,3,2,1
38,152,16,3,0,0
39,153,6,1,0,0
40,161,18,3,2,0
41,138,10,2,0,0
42,144,9,1,0,0
43,157,11,1,0,0
44,152,14,5,1,0
45,163,17,3,0,0
